filename;section;text;light
002.rtf;rights;Требовать от руководства предприятия оказания содействия в исполнении им его должностных обязанностей и прав.;False
002.rtf;respons;Агент по закупкам несет ответственность:;False
002.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией - в пределах, определенных действующим трудовым законодательством Российской Федерации.;False
002.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности - в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации.;False
002.rtf;respons;За причинение материального ущерба - в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации.;False
003.rtf;common;Агент по продаже недвижимости относится к категории технических исполнителей.;False
003.rtf;common;На должность агента по продаже недвижимости назначается лицо, имеющее среднее профессиональное образование и специальная подготовка по установленной программе без предъявления требований к стажу работы.;False
003.rtf;common;Назначение на должность агента по продаже недвижимости и освобождение от нее производится приказом директора предприятия.;True
003.rtf;common;Агент по продаже недвижимости должен знать:;False
003.rtf;common;Нормативные правовые акты, положения инструкции, другие руководящие материалы и документы, регулирующие операции с недвижимостью.;False
003.rtf;common;Агентства, работающие на рынке недвижимости, и виды оказываемых ими услуг.;False
003.rtf;common;Основы рыночной экономики.;False
003.rtf;common;Правила установления деловых контактов.;False
003.rtf;common;Условия налогообложения юридических и физических лиц.;False
003.rtf;common;Организацию осуществления операций с недвижимостью.;False
003.rtf;common;Правила и порядок заключения договоров и оформления необходимых документов, связанных с куплей-продажей и арендой недвижимости.;False
003.rtf;common;Методы анализа и порядок сбора, обработки и передачи информации о рынке недвижимости.;False
003.rtf;common;Конъюнктуру рынка недвижимости.;False
003.rtf;common;. Основные требования стандартов, технических, качественных и других характеристик, предъявляемых к объектам недвижимости.;False
003.rtf;common;. Порядок проведения осмотров и методы оценки объектов купли-продажи и аренды.;False
003.rtf;common;. Действующие ценники и прейскуранты.;False
003.rtf;common;. Организацию рекламной работы.;False
003.rtf;common;. Приемы и методы делового общения, ведения переговоров.;False
003.rtf;common;. Основы земельного и жилищного законодательства.;False
003.rtf;common;. Основы экономики, психологии и трудового законодательства.;False
003.rtf;common;. Правила и нормы охраны труда.;False
003.rtf;common;Агент по продаже недвижимости подчиняется непосредственно;False
003.rtf;common;На время отсутствия агента по продаже недвижимости (отпуск, болезнь, пр.) его обязанности исполняет лицо, назначенное в установленном порядке. Данное лицо приобретает соответствующие права и несет ответственность за надлежащее их исполнение.;False
003.rtf;tasks;Агент по продаже недвижимости:;True
003.rtf;tasks;Осуществляет работу по покупке, продаже или аренде недвижимости от имени и по поручению клиентов.;True
003.rtf;tasks;Получает информацию о продаваемом или сдаваемом в аренду имуществе и о требованиях потенциальных покупателей или арендаторов.;True
003.rtf;tasks;Изучает спрос и предложения на рынке недвижимости.;True
003.rtf;tasks;Регистрирует поступающие предложения по продаже или передаче в аренду объектов недвижимости, проводит их ознакомительный осмотр.;True
003.rtf;tasks;В отдельных случаях заключает эксклюзивные договоры между собственниками и агентством.;True
003.rtf;tasks;Осуществляет поиск потенциальных покупателей и арендаторов, устанавливает с ними деловые контакты.;True
003.rtf;tasks;Организует ознакомление покупателей или арендаторов с продаваемым или сдаваемым объектом недвижимости.;True
003.rtf;tasks;Оформляет заявки покупателей, подбирает или предлагает варианты продаж или сдачи внаем.;True
003.rtf;tasks;Согласовывает договорные условия, оформляет операции с недвижимостью.;True
003.rtf;tasks;. Оказывает помощь клиентам в сборе необходимых документов и оформлении сделок.;True
003.rtf;tasks;. Информирует клиентов о поступивших подходящих предложениях, консультирует по вопросам, касающимся характеристики рассматриваемых объектов недвижимости и степени соответствия их определенным требованиям.;True
003.rtf;tasks;. Организует подписание договоров купли-продажи или передаче в аренду объектов недвижимости.;True
003.rtf;tasks;. Содействует своевременному оформлению необходимых клиентам для заключения сделки документов, обеспечивает их сохранность.;True
003.rtf;tasks;. Представляет интересы клиентов для заключения сделки документов, обеспечивает их сохранность.;True
003.rtf;tasks;. Представляет интересы клиентов при осуществлении взаимодействия с другими специалистами агентства и иных учреждений, участвующими в оформлении сделок.;True
003.rtf;tasks;. Составляет установленную отчетность о выполненной работе.;False
003.rtf;rights;Знакомиться с проектами решений руководства предприятия, касающихся его деятельности.;False
003.rtf;rights;Запрашивать лично или по поручению непосредственного руководителя от руководителей подразделений предприятия и специалистов информацию и документы, необходимые для выполнения его должностных обязанностей.;False
003.rtf;rights;Вносить на рассмотрение руководства предложения по совершенствованию работы, связанной с предусмотренными настоящей инструкцией обязанностями.;False
003.rtf;rights;В пределах своей компетенции сообщать своему непосредственному руководителю о всех выявленных в процессе своей деятельности недостатках и вносить предложения по их устранению.;False
003.rtf;rights;Требовать от руководства предприятия оказания содействия в исполнении им его должностных обязанностей и прав.;False
003.rtf;respons;Агент по продаже недвижимости несет ответственность:;False
003.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией - в пределах, определенных действующим трудовым законодательством Российской Федерации.;False
003.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности - в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации.;False
003.rtf;respons;За причинение материального ущерба - в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации.;False
004.rtf;common;Агент по розыску грузов относится к категории технических исполнителей.;False
004.rtf;common;На должность агента по розыску грузов назначается лицо, имеющее среднее;False
004.rtf;common;(полное) общее образование;False
004.rtf;common;(специальную подготовку по установленной;False
004.rtf;common;"программе;стаж работы в должности по приему и сдаче грузов: не менее года; не";False
004.rtf;common;менее лет);False
004.rtf;common;или среднее профессиональное (техническое) образование и специальную подготовку по установленной программе.;False
004.rtf;common;Назначение на должность и освобождение от нее производится приказом;False
004.rtf;common;директора предприятия по представлению;False
004.rtf;common;Агент по розыску грузов должен знать:;False
004.rtf;common;Правила перевозок грузов и багажа.;False
004.rtf;common;Методику розыска грузов.;False
004.rtf;common;Формы грузовых перевозочных документов.;False
004.rtf;common;Инструкцию по ведению коммерческой отчетности.;False
004.rtf;common;Схему соответствующей транспортной сети.;False
004.rtf;common;Основные маршруты следования транспорта и пункты перевозки грузов и багажа.;False
004.rtf;common;Основы трудового законодательства.;False
004.rtf;common;Правила внутреннего трудового распорядка.;False
004.rtf;common;Положения, инструкции и другие руководящие документы по кругу обязанностей.;False
004.rtf;common;Агент по розыску грузов подчиняется непосредственно;False
004.rtf;common;На время отсутствия агента по розыску грузов (болезнь, отпуск, пр.) его обязанности исполняет лицо, назначенное в установленном порядке. Данное лицо приобретает соответствующие права и несет ответственность за качественное и своевременное выполнение возложенных на него обязанностей.;False
004.rtf;tasks;Агент по розыску грузов:;True
004.rtf;tasks;Производит розыск багажа и грузов по поступившим претензиям.;True
004.rtf;tasks;Оформляет коммерческие акты при разъединении багажа и грузов от документов и несохранности багажа и грузов.;True
004.rtf;tasks;Принимает участие в проверке и готовит донесения о несохранности грузов.;True
004.rtf;tasks;Принимает и обрабатывает входящие и исходящие коммерческие акты, телеграммы, акты комиссионных проверок и экспертизы.;True
004.rtf;tasks;Расследует случаи несохранных перевозок по оперативным донесениям, коммерческим актам, претензиям и искам грузополучателей и грузоотправителей и подготавливает по ним заключения.;True
004.rtf;tasks;Принимает участие в рассмотрении претензий в арбитражных судах.;True
004.rtf;tasks;Оформляет документы на невостребованные получателями багаж и грузы для их реализации.;True
004.rtf;tasks;Ведет книги учета розыска багажа и грузов и регистрации коммерческих актов.;True
004.rtf;tasks;Обеспечивает сохранность, учет и систематизацию бланков строгой отчетности и других документов на несохранные грузы и багаж.;True
004.rtf;tasks;. Подготавливает перевозочные документы для централизованного вывоза и переадресовки грузов.;True
004.rtf;tasks;. Ведет картотеку на несохранные грузы и багаж.;False
004.rtf;rights;Агент по розыску грузов имеет право:;False
004.rtf;rights;Вносить на рассмотрение руководства предложения по совершенствованию работы, связанной с предусмотренными настоящей инструкцией обязанностями.;False
004.rtf;rights;В пределах своей компетенции сообщать своему непосредственному руководителю о всех выявленных в процессе своей деятельности недостатках и вносить предложения по их устранению.;False
004.rtf;rights;Запрашивать лично или по поручению своего непосредственного руководителя от руководителей подразделений предприятия и специалистов информацию и документы, необходимые для выполнения его должностных обязанностей.;False
004.rtf;rights;Требовать от руководства предприятия оказания содействия в исполнении им его должностных обязанностей и прав. Агент по розыску грузов имеет право:;False
004.rtf;rights;Требовать от руководства предприятия оказания содействия в исполнении им его должностных обязанностей и прав.;False
004.rtf;respons;Агент по розыску грузов несет ответственность:;False
004.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией - в пределах, определенных действующим трудовым законодательством Российской Федерации.;False
004.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности - в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации.;False
004.rtf;respons;За причинение материального ущерба - в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации.;False
005.rtf;common;Агент по снабжению относится к категории технических исполнителей.;False
005.rtf;common;На должность агента по снабжению назначается лицо, имеющее среднее (полное) общее образование и специальная подготовка по установленной программе без предъявления требований к стажу работы.;False
005.rtf;common;Назначение на должность агента по снабжению и освобождение от нее;False
005.rtf;common;производится приказом директора предприятия по представлению;False
005.rtf;common;(начальника;False
005.rtf;common;материально-технического снабжения,  заместителя начальника отдела;False
005.rtf;common;"ла материально-технического снабжения; иного должностного лица)";False
005.rtf;common;Агент по снабжению должен знать:;False
005.rtf;common;Нормативные правовые акты, положения, инструкции, другие руководящие материалы и документы, касающиеся вопросов использования материальных ресурсов.;False
005.rtf;common;Основы организации материально-технического обеспечения и погрузочно-разгрузочных работ.;False
005.rtf;common;Правила и порядок приема и отправки грузов, заказа контейнеров и транспортных средств, оформления документов на получаемые и отправляемые грузы.;False
005.rtf;common;Номенклатуру и нормы расхода сырья, материалов и других товарно-материальных ценностей, условия их хранения и транспортировки.;False
005.rtf;common;Основы организации труда.;False
005.rtf;common;Основы законодательства о труде.;False
005.rtf;common;Правила внутреннего трудового распорядка.;False
005.rtf;common;Правила и нормы охраны труда.;False
005.rtf;common;Агент по снабжению подчиняется непосредственно;False
005.rtf;common;(начальнику отдела;False
005.rtf;common;материально-технического снабжения заместителю начальника отдела;False
005.rtf;common;"материально-технического снабжения; иному должностному лицу)";False
005.rtf;common;На время отсутствия агента по снабжению (болезнь, отпуск, пр.) его обязанности исполняет лицо, назначенное в установленном порядке. Данное лицо приобретает соответствующие права и несет ответственность за надлежащее их исполнение.;False
005.rtf;tasks;Агент по снабжению:;True
005.rtf;tasks;Получает по договорам, нарядам и другим документам товарно-материальные ценности (сырье, материалы, оборудование, комплектующие изделия, инвентарь, канцелярские принадлежности и т.п.).;True
005.rtf;tasks;Оформляет документацию на получаемые и отправляемые грузы, заказывает контейнеры, другую тару, а также транспортные средства для их доставки.;True
005.rtf;tasks;Производит внеплановые закупки материалов.;True
005.rtf;tasks;Отправляет товарно-материальные ценности в адрес предприятия или сопровождает грузы в пути следования, обеспечивает сохранность и содействует своевременной их доставки.;True
005.rtf;tasks;Проверяет состояние груза, принимает меры по замене материальных ценностей в случае обнаружения наружного брака.;True
005.rtf;tasks;Определяет режим перевозки скоропортящихся и опасных грузов, следит за соответствием тары перевозимым грузам, размещением грузов при транспортировке, контролирует соблюдение требований техники безопасности при проведении погрузочно-разгрузочных работ.;True
005.rtf;tasks;Принимает меры по повышению эффективности использования материальных ресурсов путем снижения затрат, связанных с их приобретением,;False
005.rtf;rights;Агент по снабжению имеет право:;False
005.rtf;rights;Знакомиться с проектами решений руководства предприятия, касающихся его деятельности.;False
005.rtf;rights;Запрашивать лично или по поручению непосредственного руководителя от руководителей подразделений предприятия и специалистов информацию и документы, необходимые для выполнения его должностных обязанностей.;False
005.rtf;rights;Вносить на рассмотрение руководства предложения по совершенствованию работы, связанной с предусмотренными настоящей инструкцией обязанностями.;False
005.rtf;rights;В пределах своей компетенции сообщать своему непосредственному руководителю о всех выявленных в процессе своей деятельности недостатках и вносить предложения по их устранению.;False
005.rtf;rights;Требовать от руководства предприятия оказания содействия в исполнении им его должностных обязанностей и прав.;False
005.rtf;respons;Агент по снабжению несет ответственность:;False
005.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией - в пределах, определенных действующим трудовым законодательством Российской Федерации.;False
005.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности - в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации.;False
005.rtf;respons;За причинение материального ущерба - в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации.;False
006.rtf;common;Рекламный агент относится к категории технических исполнителей.;False
006.rtf;common;На должность рекламного агента назначается лицо, имеющее среднее (полное) общее образование и специальную подготовку по установленной программе без предъявления требований к стажу работы.;False
006.rtf;common;Назначение на должность рекламного агента и освобождение от нее;False
006.rtf;common;производится приказом директора предприятия по представлению;False
006.rtf;common;(менеджера по;False
006.rtf;common;"рекламе; руководителя соответствующего структурного подразделения; иного";False
006.rtf;common;должностного лица);False
006.rtf;common;Рекламный агент должен знать:;False
006.rtf;common;Нормативные правовые акты, положения инструкции, другие руководящие материалы, касающиеся рекламной деятельности.;False
006.rtf;common;Законодательство о рекламе.;False
006.rtf;common;Виды рекламы и основы организационной рекламной деятельности.;False
006.rtf;common;Перспективы развития предприятия, производящего рекламируемую продукцию и оказывающего рекламируемые услуги.;False
006.rtf;common;Номенклатуру и ассортимент выпускаемой продукции и оказываемых услуг, основные их характеристики.;False
006.rtf;common;Требования потенциальных покупателей к производимой продукции и заказчиков к оказываемым услугам.;False
006.rtf;common;Действующие ценники и прейскуранты.;False
006.rtf;common;Основы организации связи со средствами массовой информации, приемы и методы делового общения и ведения переговоров.;False
006.rtf;common;Методы сбора и подготовки рекламных материалов.;False
006.rtf;common;. Порядок подготовки рекламных кампаний.;False
006.rtf;common;. Основы эстетики, этики, психологии.;False
006.rtf;common;. Основы экономики, организации труда и управления.;False
006.rtf;common;. Правила внутреннего трудового распорядка.;False
006.rtf;common;. Правила и нормы охраны труда.;False
006.rtf;common;Рекламный агент подчиняется непосредственно;False
006.rtf;common;"(менеджеру по рекламе;";False
006.rtf;common;"руководителю соответствующего структурного подразделения; иному должностному";False
006.rtf;common;лицу);False
006.rtf;common;На время отсутствия рекламного агента (командировка, отпуск, болезнь, пр.) его обязанности исполняет лицо, назначенное в установленном порядке, которое приобретает соответствующие права и несет ответственность за надлежащее исполнение возложенных на него обязанностей.;False
006.rtf;tasks;Рекламный агент:;True
006.rtf;tasks;Осуществляет в качестве посредника работу по представлению и продвижению товаров, услуг, коммерческих идей, выполнению комплекса мер, направленных на содействие их реализации или достижение других маркетинговых задач, соблюдая этические нормы рекламирования товаров, услуг.;True
006.rtf;tasks;Заключает договра или соглашения между доверителем и посредником, определяющие характер и объем работ, которые необходимо выполнить за счет и от имени доверителя, а также их оплату по действующим тарифам или условиям договора (соглашения).;True
006.rtf;tasks;Информирует потенциальных покупателей и потребителей о новых товарах, услугах, идеях, раскрывая (не присущие другим) их специфические особенности, о практическом использовании объекта рекламы, убеждая их, что именно этот товар, услуга, идея ему нужны.;True
006.rtf;tasks;При проведении рекламной работы ссылается на мнения престижного покупателя или потребителя, учитывает платежеспособность различных групп населения.;True
006.rtf;tasks;Составляет и представляет в установленные сроки отчетность.;True
006.rtf;tasks;Стимулирует потребителя повторно делать покупки товара и обращаться за услугами.;True
006.rtf;tasks;Выделяет объект рекламы из массы сообщений, циркулирующих в средствах массовой информации, характеризует его дополнительно отличительными потребительскими качествами, преимуществами на рынке товаров и услуг, создавая спрос и побуждая покупателей и потребителей к заключению сделки.;True
006.rtf;tasks;Принимает меры по обеспечению участия потенциальных покупателей и потребителей в презентациях товаров и услуг, а также проводимых ярмарках, выставках, экскурсиях на предприятия, изготавливающие рекламируемую продукцию.;True
006.rtf;tasks;Осуществляет работу по популяризации предприятия-изготовителя, его коммерческих связей, принципов, положенных в основу его деятельности, направленную на формирование благожелательного отношения покупателей и потребителей и обеспечению престижа рекламодателя.;True
006.rtf;tasks;. Проводит разъяснительную работу среди покупателей и потребителей товаров о гарантиях, правах и способах защиты их интересов.;True
006.rtf;tasks;. Принимает участие в реализации перспективных планов подготовки и размещения рекламы с учетом характера спроса (равномерного или сезонного) на товары (услуги), совершенствовании методов ее проведения,  а также в работе по повышению эффективности и снижению затрат, связанных с рекламой.;True
006.rtf;tasks;. Устанавливает связь со средствами массовой информации по вопросам размещения рекламы.;True
006.rtf;tasks;. Изучает передовой отечественный и зарубежный опыт организации рекламной работы, освоения новых видов рекламы, обеспечивающих выделение и продвижение рекламируемого объекта на рынке товаров и услуг.;True
006.rtf;tasks;. Осуществляет взаимодействие с другими агентами по рекламе.;True
006.rtf;tasks;. Выполняет отдельные служебные поручения своего непосредственного руководителя.;False
006.rtf;rights;Рекламный агент имеет право:;False
006.rtf;rights;Знакомиться с проектами решений руководства предприятия, касающимися его деятельности.;False
006.rtf;rights;Вносить на рассмотрение руководства предприятия предложения по совершенствованию работы, связанной с предусмотренными настоящей инструкцией обязанностями.;False
006.rtf;rights;В пределах своей компетенции сообщать своему непосредственному руководителю о всех выявленных в процессе своей деятельности недостатках и вносить предложения по их устранению.;False
006.rtf;rights;Запрашивать лично или по поручению непосредственного руководителя от специалистов и исполнителей информацию и документы, необходимые для выполнения его должностных обязанностей.;False
006.rtf;rights;Требовать от руководства предприятия оказания содействия в исполнении своих должностных обязанностей и прав.;False
006.rtf;respons;Рекламный агент имеет несет ответственность:;False
006.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией - в пределах, определенных действующим трудовым законодательством Российской Федерации.;False
006.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности - в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации.;False
006.rtf;respons;За причинение материального ущерба - в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации.;False
007.rtf;common;Страховой агент относится к категории технических исполнителей.;False
007.rtf;common;На должность страхового агента назначается лицо, имеющее среднее профессиональное образование и специальная подготовка по установленной программе без предъявления требований к стажу работы.;False
007.rtf;common;Назначение на должность страхового агента и освобождение от нее производится приказом директора предприятия.;True
007.rtf;common;Страховой агент должен знать:;False
007.rtf;common;Нормативные правовые акты, положения, инструкции, другие руководящие материалы и документы, регламентирующие деятельность страховых органов.;False
007.rtf;common;Виды страховых услуг и условия различных видов страхования.;False
007.rtf;common;Правовые основы развития страховой деятельности с учетом региональных специфических условий.;False
007.rtf;common;Действующую систему социальных гарантий.;False
007.rtf;common;Методы определения степени риска при заключении договоров на страхование услуги и оценки причиненного ущерба.;False
007.rtf;common;Основы рыночной экономики.;False
007.rtf;common;Основы психологии и организации труда.;False
007.rtf;common;Порядок заключения и оформления договоров на страховые услуги.;False
007.rtf;common;Отечественный и зарубежный опыт организации страхования населения и субъектов хозяйствования.;False
007.rtf;common;. Основы трудового законодательства.;False
007.rtf;common;. Правила и нормы охраны труда.;False
007.rtf;common;Страховой агент подчиняется непосредственно;False
007.rtf;common;На время отсутствия страхового агента (отпуск, болезнь, пр.) его обязанности исполняет лицо, назначенное в установленном порядке. Данное лицо приобретает соответствующие права и несет ответственность за надлежащее их исполнение.;False
007.rtf;tasks;Страховой агент:;True
007.rtf;tasks;Осуществляет операции по заключению договоров имущественного и личного страхования.;True
007.rtf;tasks;Изучает региональные условия и спрос на определенные страховые услуги.;True
007.rtf;tasks;Анализирует состав регионального контингента потенциальных клиентов, обслуживает физических лиц, представляющих учреждения, организации и предприятия различных форм собственности.;True
007.rtf;tasks;Проводит аргументированные беседы с потенциальными и постоянными клиентами с целью заинтересовать их в заключении или продлении договоров страхования (жизни и здоровья, движимого и недвижимого имущества, предпринимательской и коммерческой деятельности и др.). в процессе работы с клиентами ведет наблюдение, оценивает особенности восприятия, памяти, внимания, мотивацию поведения и обеспечивает взаимопонимание при заключении договоров на страховые услуги.;True
007.rtf;tasks;Устанавливает критерии и степень риска при заключении договоров на страховые услуги, учитывая состояние здоровья, возраст, пол, образование, стаж трудовой деятельности, уровень материального обеспечения и другие субъективные качества, характеризующие клиента.;True
007.rtf;tasks;Заключает и оформляет страховые договоры, регулирует отношения между страхователем и страховщиком, обеспечивает их выполнение, осуществляет приемку страховых взносов.;True
007.rtf;tasks;Обеспечивает правильность исчисления страховых взносов, оформления страховых документов и их сохранность.;True
007.rtf;tasks;Способствует формированию заинтересованности и спроса на оказываемые страховые услуги, учитывая необходимость усиления материальной и моральной поддержки различных слоев населения, а также нарастание риска, связанного с конкуренцией, банкротством, безработицей и другими происходящими в современных условиях социально- экономическими процессами.;True
007.rtf;tasks;Оказывает помощь клиентам в получении исчерпывающей информации об условиях страхования.;True
007.rtf;tasks;. Проводит работу по выявлению и учету потенциальных страхователей и объектов страхования, дает оценку стоимости объектов страхования.;True
007.rtf;tasks;. В течение срока действия заключенных договоров поддерживает связь с физическими и юридическими лицами, вступившими в договорные отношения на страховые услуги.;True
007.rtf;tasks;. В случае причинения ущерба застрахованному осуществляет оценку и определяет его размер с учетом критериев и степени риска.;True
