;filename;section;text;light
101;003.rtf;tasks;Осуществляет поиск потенциальных покупателей и арендаторов, устанавливает с ними деловые контакты;0.89
102;003.rtf;tasks;Организует ознакомление покупателей или арендаторов с продаваемым или сдаваемым объектом недвижимости;0.83
103;003.rtf;tasks;Оформляет заявки покупателей, подбирает или предлагает варианты продаж или сдачи внаем;0.79
104;003.rtf;tasks;Согласовывает договорные условия, оформляет операции с недвижимостью;0.82
105;003.rtf;tasks;Оказывает помощь клиентам в сборе необходимых документов и оформлении сделок.;0.86
106;003.rtf;tasks;Информирует клиентов о поступивших подходящих предложениях, консультирует по вопросам, касающимся характеристики рассматриваемых объектов недвижимости и степени соответствия их определенным требованиям.;0.8
107;003.rtf;tasks;Организует подписание договоров купли-продажи или передаче в аренду объектов недвижимости.;0.83
108;003.rtf;tasks;Содействует своевременному оформлению необходимых клиентам для заключения сделки документов, обеспечивает их сохранность.;0.98
109;003.rtf;tasks;Представляет интересы клиентов для заключения сделки документов, обеспечивает их сохранность.;0.93
110;003.rtf;tasks;Представляет интересы клиентов при осуществлении взаимодействия с другими специалистами агентства и иных учреждений, участвующими в оформлении сделок.;0.85
111;003.rtf;tasks;Составляет установленную отчетность о выполненной работе.;0.79
112;003.rtf;rights;Знакомиться с проектами решений руководства предприятия, касающихся его деятельности;0.04
113;003.rtf;rights;Запрашивать лично или по поручению непосредственного руководителя от руководителей подразделений предприятия и специалистов информацию и документы, необходимые для выполнения его должностных обязанностей;0.01
114;003.rtf;rights;Вносить на рассмотрение руководства предложения по совершенствованию работы, связанной с предусмотренными настоящей инструкцией обязанностями;0.03
115;003.rtf;rights;В пределах своей компетенции сообщать своему непосредственному руководителю о всех выявленных в процессе своей деятельности недостатках и вносить предложения по их устранению;0.02
116;003.rtf;rights;Требовать от руководства предприятия оказания содействия в исполнении им его должностных обязанностей и прав;0.02
117;003.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией - в пределах, определенных действующим трудовым законодательством Российской Федерации;0.01
118;003.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности - в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации;0.03
119;003.rtf;respons;За причинение материального ущерба - в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации;0.03
120;004.rtf;position;АГЕНТ ПО РОЗЫСКУ ГРУЗОВ И БАГАЖА;0.05
121;004.rtf;common;На должность агента по розыску грузов назначается лицо, имеющее среднее;0.01
122;004.rtf;common;(полное) общее образование (специальную подготовку по установленной;0.02
123;004.rtf;common;"программе;стаж работы в должности по приему и сдаче грузов: не менее года; не";0.02
124;004.rtf;common;менее лет) или среднее профессиональное (техническое) образование и специальную подготовку по установленной программе  Назначение на должность и освобождение от нее производится приказом;0.02
125;005.rtf;position;АГЕНТ ПО СНАБЖЕНИЮ;0.05
126;005.rtf;common;Назначение на должность агента по снабжению и освобождение от нее;0.02
127;005.rtf;common;производится приказом директора предприятия по представлению  (начальника  материально-технического снабжения,  заместителя начальника отдела;0.04
128;006.rtf;position;АГЕНТ РЕКЛАМНЫЙ;0.05
129;006.rtf;common;Назначение на должность рекламного агента и освобождение от нее;0.02
130;006.rtf;common;производится приказом директора предприятия по представлению(менеджера по;0.02
131;006.rtf;common;"рекламе; руководителя соответствующего структурного подразделения; иного";0.01
132;006.rtf;common;"должностного лица)  Рекламный агент должен знать:  Нормативные правовые акты, положения инструкции, другие руководящие материалы, касающиеся рекламной деятельности  Законодательство о рекламе.  Виды рекламы и основы организационной рекламной деятельности.  Перспективы развития предприятия, производящего рекламируемую продукцию и оказывающего рекламируемые услуги.  Номенклатуру и ассортимент выпускаемой продукции и оказываемых услуг, основные их характеристики.  Требования потенциальных покупателей к производимой продукции и заказчиков к оказываемым услугам.  Действующие ценники и прейскуранты.  Основы организации связи со средствами массовой информации, приемы и методы делового общения и ведения переговоров.  Методы сбора и подготовки рекламных материалов. . Порядок подготовки рекламных кампаний. . Основы эстетики, этики, психологии. . Основы экономики, организации труда и управления. . Правила внутреннего трудового распорядка. . Правила и нормы охраны труда.   Рекламный агент подчиняется непосредственно (менеджеру по рекламе; руководителю соответствующего структурного подразделения; иному должностному";0.73
133;007.rtf;position;АГЕНТ СТРАХОВОЙ;0.05
134;007.rtf;common;Страховой агент относится к категории технических исполнителей;0.02
135;007.rtf;common;На должность страхового агента назначается лицо, имеющее среднее профессиональное образование и специальная подготовка по установленной программе без предъявления требований к стажу работы;0.01
136;007.rtf;common;Назначение на должность страхового агента и освобождение от нее производится приказом директора предприятия;0.02
137;007.rtf;common;Страховой агент должен знать:;0.85
138;007.rtf;common;Нормативные правовые акты, положения, инструкции, другие руководящие материалы и документы, регламентирующие деятельность страховых органов;0.01
139;007.rtf;common;Виды страховых услуг и условия различных видов страхования;0.03
140;007.rtf;common;Правовые основы развития страховой деятельности с учетом региональных специфических условий;0.04
141;007.rtf;common;Действующую систему социальных гарантий;0.02
142;007.rtf;common;Методы определения степени риска при заключении договоров на страхование услуги и оценки причиненного ущерба;0.02
143;007.rtf;common;Основы рыночной экономики;0.02
144;007.rtf;common;Основы психологии и организации труда;0.02
145;007.rtf;common;Порядок заключения и оформления договоров на страховые услуги;0.02
146;007.rtf;common;Отечественный и зарубежный опыт организации страхования населения и субъектов хозяйствования;0.02
147;007.rtf;common;Основы трудового законодательства.;0.02
148;007.rtf;common;Правила и нормы охраны труда.;0.02
149;007.rtf;common;Страховой агент подчиняется непосредственно;0.1
150;007.rtf;tasks;Страховой агент:;0.71
151;007.rtf;tasks;Осуществляет операции по заключению договоров имущественного и личного страхования;0.89
152;007.rtf;tasks;Изучает региональные условия и спрос на определенные страховые услуги;0.9
153;007.rtf;tasks;Анализирует состав регионального контингента потенциальных клиентов, обслуживает физических лиц, представляющих учреждения, организации и предприятия различных форм собственности;0.79
154;007.rtf;tasks;Проводит аргументированные беседы с потенциальными и постоянными клиентами с целью заинтересовать их в заключении или продлении договоров страхования (жизни и здоровья, движимого и недвижимого имущества, предпринимательской и коммерческой деятельности и др). в процессе работы с клиентами ведет наблюдение, оценивает особенности восприятия, памяти, внимания, мотивацию поведения и обеспечивает взаимопонимание при заключении договоров на страховые услуги.;0.92
155;007.rtf;tasks;Устанавливает критерии и степень риска при заключении договоров на страховые услуги, учитывая состояние здоровья, возраст, пол, образование, стаж трудовой деятельности, уровень материального обеспечения и другие субъективные качества, характеризующие клиента;0.66
156;007.rtf;tasks;Заключает и оформляет страховые договоры, регулирует отношения между страхователем и страховщиком, обеспечивает их выполнение, осуществляет приемку страховых взносов;0.97
157;007.rtf;tasks;Обеспечивает правильность исчисления страховых взносов, оформления страховых документов и их сохранность;0.89
158;007.rtf;tasks;Способствует формированию заинтересованности и спроса на оказываемые страховые услуги, учитывая необходимость усиления материальной и моральной поддержки различных слоев населения, а также нарастание риска, связанного с конкуренцией, банкротством, безработицей и другими происходящими в современных условиях социально- экономическими процессами;0.89
159;007.rtf;tasks;Оказывает помощь клиентам в получении исчерпывающей информации об условиях страхования;0.88
160;007.rtf;tasks;Проводит работу по выявлению и учету потенциальных страхователей и объектов страхования, дает оценку стоимости объектов страхования.;0.9
161;007.rtf;tasks;В течение срока действия заключенных договоров поддерживает связь с физическими и юридическими лицами, вступившими в договорные отношения на страховые услуги.;0.71
162;007.rtf;tasks;В случае причинения ущерба застрахованному осуществляет оценку и определяет его размер с учетом критериев и степени риска.;0.9
163;007.rtf;tasks;Рассматривает поступающие от клиентов жалобы и претензии по спорным вопросам исчисления и уплаты страховых взносов, выплат страхового возмещения при наступлении страхового случая в соответствии с условиями договора.;0.84
164;007.rtf;tasks;Устанавливает причины нарушений страховых договоров и принимает меры по их предупреждению и устранению.;0.83
165;007.rtf;tasks;Исследует неосвоенные виды страховых услуг и перспективы их развития с целью применения в своей практике и при создании страховых органов и служб.;0.77
166;007.rtf;tasks;Своевременно и в соответствии с установленными требованиями оформляет необходимую документацию, ведет учет и обеспечивает хранение документов,  связанных с заключением договоров страхования.;0.96
167;007.rtf;tasks;Осуществляет взаимодействие с другими страховыми агентами.;0.86
168;007.rtf;rights;Страховой агент имеет право:;0.8
169;007.rtf;rights;Знакомиться с проектами решений руководства предприятия, касающихся его деятельности;0.04
170;007.rtf;rights;Запрашивать лично или по поручению непосредственного руководителя от руководителей подразделений предприятия и специалистов информацию и документы, необходимые для выполнения его должностных обязанностей;0.01
171;007.rtf;rights;Вносить на рассмотрение руководства предложения по совершенствованию работы, связанной с предусмотренными настоящей инструкцией обязанностями;0.03
172;007.rtf;rights;В пределах своей компетенции сообщать своему непосредственному руководителю о всех выявленных в процессе своей деятельности недостатках и вносить предложения по их устранению;0.02
173;007.rtf;rights;Требовать от руководства предприятия оказания содействия в исполнении им его должностных обязанностей и прав;0.02
174;007.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией - в пределах, определенных действующим трудовым законодательством Российской Федерации;0.01
175;007.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности - в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации;0.03
176;007.rtf;respons;За причинение материального ущерба - в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации;0.03
177;008.rtf;position;АГЕНТ;0.05
178;009.rtf;position;АГРОНОМА;0.05
179;009.rtf;common;Агроном относится к категории специалистов;0.02
180;009.rtf;common;"На должность агронома назначается лицо, имеющее (высшее; среднее";0.01
181;009.rtf;common;агрономическое образование (без предъявления требований к;0.02
182;009.rtf;common;"стажу работы;стаж работы по профилю не менее лет)";0.02
183;009.rtf;common;Назначение на должность агронома и освобождение от нее производится;0.02
184;009.rtf;common;приказом директора организации по представлению;0.02
185;009.rtf;common;Агроном должен знать:;0.85
186;009.rtf;common;Постановления, распоряжения, приказы, другие руководящие и нормативные документы вышестоящих и других органов, касающиеся вопросов сельскохозяйственного производства и производственно-хозяйственной деятельности отделения (фермы, сельскохозяйственного участка);0.02
187;009.rtf;common;Технологию сельскохозяйственного производства и передовой сельскохозяйственный опыт;0.02
188;009.rtf;common;Методы проведения научных исследований в области агрономии;0.02
189;009.rtf;common;Методы возделывания полевых, садовых, огородных культур;0.02
190;009.rtf;common;Основы экономики, организации производства, труда и управления, системы оплаты труда, материального и морального стимулирования, методы нормирования труда;0.01
191;009.rtf;common;Основы земельного законодательства;0.02
192;009.rtf;common;Законодательство о труде;0.02
193;009.rtf;common;Основы экономики, организации труда, сельскохозяйственного производства и управления;0.02
194;009.rtf;common;Правила внутреннего трудового распорядка;0.02
195;009.rtf;common;Правила охраны труда, техники безопасности, производственной санитарии и противопожарной защиты.;0.02
196;009.rtf;common;Агроном подчиняется непосредственно (управляющему отделением;0.11
197;009.rtf;common;(фермой,(управляющему отделением (фермой,;0.03
198;009.rtf;tasks;Агроном:;0.71
199;009.rtf;tasks;Проводит научные исследования в области агрономии;0.81
200;009.rtf;tasks;Изучает и внедряет и внедряет передовые методы возделывания полевых, садовых, огородных культур;0.81
201;009.rtf;tasks;Разрабатывает и внедряет технологии по борьбе с вредителями, болезнями растений и сорняками;0.7
202;009.rtf;tasks;Разрабатывает агротехнические мероприятия, направленные на повышение плодородия почв и увеличения урожайности сельскохозяйственных культур;0.8
203;009.rtf;tasks;Разрабатывает производственные планы, виды и количества посадочных культур;0.72
204;009.rtf;tasks;Ведет переговоры и готовит проекты договоров на приобретение семян растений, саженцев и удобрений;0.85
205;009.rtf;tasks;Организует работу по выращиванию высококачественных сортовых семян и посадочного материала, созданию семенных фондов;0.84
206;009.rtf;tasks;Организует работу по подготовке почвы к посеву и посадке;0.9
207;009.rtf;tasks;Разрабатывает мероприятия по приготовлению и внесению удобрений в почву;0.78
208;009.rtf;tasks;Осуществляет контроль за подготовкой семян и посадочного материала.;0.93
