;filename;section;text;light
72;003.rtf;common;Назначение на должность агента по продаже недвижимости и освобождение от нее производится приказом директора предприятия;0.02
73;003.rtf;common;Агент по продаже недвижимости должен знать:;0.83
74;003.rtf;common;Нормативные правовые акты, положения инструкции, другие руководящие материалы и документы, регулирующие операции с недвижимостью;0.02
75;003.rtf;common;Агентства, работающие на рынке недвижимости, и виды оказываемых ими услуг;0.04
76;003.rtf;common;Основы рыночной экономики;0.02
77;003.rtf;common;Правила установления деловых контактов;0.03
78;003.rtf;common;Условия налогообложения юридических и физических лиц;0.03
79;003.rtf;common;Организацию осуществления операций с недвижимостью;0.03
80;003.rtf;common;Правила и порядок заключения договоров и оформления необходимых документов, связанных с куплей-продажей и арендой недвижимости;0.03
81;003.rtf;common;Методы анализа и порядок сбора, обработки и передачи информации о рынке недвижимости;0.03
82;003.rtf;common;Конъюнктуру рынка недвижимости;0.03
83;003.rtf;common;Основные требования стандартов, технических, качественных и других характеристик, предъявляемых к объектам недвижимости.;0.03
84;003.rtf;common;Порядок проведения осмотров и методы оценки объектов купли-продажи и аренды.;0.03
85;003.rtf;common;Действующие ценники и прейскуранты.;0.03
86;003.rtf;common;Организацию рекламной работы.;0.02
87;003.rtf;common;Приемы и методы делового общения, ведения переговоров.;0.03
88;003.rtf;common;Основы земельного и жилищного законодательства.;0.03
89;003.rtf;common;Основы экономики, психологии и трудового законодательства.;0.02
90;003.rtf;common;Правила и нормы охраны труда.;0.02
91;003.rtf;common;Агент по продаже недвижимости подчиняется непосредственно;0.09
92;003.rtf;tasks;Агент по продаже недвижимости:;0.74
93;003.rtf;tasks;Осуществляет работу по покупке, продаже или аренде недвижимости от имени и по поручению клиентов;0.88
94;003.rtf;tasks;Получает информацию о продаваемом или сдаваемом в аренду имуществе и о требованиях потенциальных покупателей или арендаторов;0.82
95;003.rtf;tasks;Изучает спрос и предложения на рынке недвижимости;0.83
96;003.rtf;tasks;Регистрирует поступающие предложения по продаже или передаче в аренду объектов недвижимости, проводит их ознакомительный осмотр;0.8
97;003.rtf;tasks;В отдельных случаях заключает эксклюзивные договоры между собственниками и агентством;0.74
98;003.rtf;tasks;Осуществляет поиск потенциальных покупателей и арендаторов, устанавливает с ними деловые контакты;0.92
99;003.rtf;tasks;Организует ознакомление покупателей или арендаторов с продаваемым или сдаваемым объектом недвижимости;0.88
100;003.rtf;tasks;Оформляет заявки покупателей, подбирает или предлагает варианты продаж или сдачи внаем;0.83
101;003.rtf;tasks;Согласовывает договорные условия, оформляет операции с недвижимостью;0.84
102;003.rtf;tasks;Оказывает помощь клиентам в сборе необходимых документов и оформлении сделок.;0.83
103;003.rtf;tasks;Информирует клиентов о поступивших подходящих предложениях, консультирует по вопросам, касающимся характеристики рассматриваемых объектов недвижимости и степени соответствия их определенным требованиям.;0.73
104;003.rtf;tasks;Организует подписание договоров купли-продажи или передаче в аренду объектов недвижимости.;0.87
105;003.rtf;tasks;Содействует своевременному оформлению необходимых клиентам для заключения сделки документов, обеспечивает их сохранность.;0.94
106;003.rtf;tasks;Представляет интересы клиентов для заключения сделки документов, обеспечивает их сохранность.;0.9
107;003.rtf;tasks;Представляет интересы клиентов при осуществлении взаимодействия с другими специалистами агентства и иных учреждений, участвующими в оформлении сделок.;0.77
108;003.rtf;tasks;Составляет установленную отчетность о выполненной работе.;0.75
109;003.rtf;rights;Знакомиться с проектами решений руководства предприятия, касающихся его деятельности;0.04
110;003.rtf;rights;Запрашивать лично или по поручению непосредственного руководителя от руководителей подразделений предприятия и специалистов информацию и документы, необходимые для выполнения его должностных обязанностей;0.02
111;003.rtf;rights;Вносить на рассмотрение руководства предложения по совершенствованию работы, связанной с предусмотренными настоящей инструкцией обязанностями;0.05
112;003.rtf;rights;В пределах своей компетенции сообщать своему непосредственному руководителю о всех выявленных в процессе своей деятельности недостатках и вносить предложения по их устранению;0.03
113;003.rtf;rights;Требовать от руководства предприятия оказания содействия в исполнении им его должностных обязанностей и прав;0.03
114;003.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией - в пределах, определенных действующим трудовым законодательством Российской Федерации;0.02
115;003.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности - в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации;0.04
116;003.rtf;respons;За причинение материального ущерба - в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации;0.04
117;004.rtf;common;На должность агента по розыску грузов назначается лицо, имеющее среднее;0.03
118;004.rtf;common;(полное) общее образование (специальную подготовку по установленной;0.02
119;004.rtf;common;"программе;стаж работы в должности по приему и сдаче грузов: не менее года; не";0.02
120;004.rtf;common;менее лет) или среднее профессиональное (техническое) образование и специальную подготовку по установленной программе  Назначение на должность и освобождение от нее производится приказом;0.02
121;005.rtf;common;Назначение на должность агента по снабжению и освобождение от нее;0.03
122;005.rtf;common;производится приказом директора предприятия по представлению  (начальника  материально-технического снабжения,  заместителя начальника отдела;0.03
123;006.rtf;common;Назначение на должность рекламного агента и освобождение от нее;0.03
124;006.rtf;common;производится приказом директора предприятия по представлению(менеджера по;0.02
125;006.rtf;common;"рекламе; руководителя соответствующего структурного подразделения; иного";0.02
126;006.rtf;common;"должностного лица)  Рекламный агент должен знать:  Нормативные правовые акты, положения инструкции, другие руководящие материалы, касающиеся рекламной деятельности  Законодательство о рекламе.  Виды рекламы и основы организационной рекламной деятельности.  Перспективы развития предприятия, производящего рекламируемую продукцию и оказывающего рекламируемые услуги.  Номенклатуру и ассортимент выпускаемой продукции и оказываемых услуг, основные их характеристики.  Требования потенциальных покупателей к производимой продукции и заказчиков к оказываемым услугам.  Действующие ценники и прейскуранты.  Основы организации связи со средствами массовой информации, приемы и методы делового общения и ведения переговоров.  Методы сбора и подготовки рекламных материалов. . Порядок подготовки рекламных кампаний. . Основы эстетики, этики, психологии. . Основы экономики, организации труда и управления. . Правила внутреннего трудового распорядка. . Правила и нормы охраны труда.   Рекламный агент подчиняется непосредственно (менеджеру по рекламе; руководителю соответствующего структурного подразделения; иному должностному";0.56
127;007.rtf;common;Страховой агент относится к категории технических исполнителей;0.03
128;007.rtf;common;На должность страхового агента назначается лицо, имеющее среднее профессиональное образование и специальная подготовка по установленной программе без предъявления требований к стажу работы;0.02
129;007.rtf;common;Назначение на должность страхового агента и освобождение от нее производится приказом директора предприятия;0.02
130;007.rtf;common;Страховой агент должен знать:;0.83
131;007.rtf;common;Нормативные правовые акты, положения, инструкции, другие руководящие материалы и документы, регламентирующие деятельность страховых органов;0.02
132;007.rtf;common;Виды страховых услуг и условия различных видов страхования;0.03
133;007.rtf;common;Правовые основы развития страховой деятельности с учетом региональных специфических условий;0.02
134;007.rtf;common;Действующую систему социальных гарантий;0.03
135;007.rtf;common;Методы определения степени риска при заключении договоров на страхование услуги и оценки причиненного ущерба;0.03
136;007.rtf;common;Основы рыночной экономики;0.02
137;007.rtf;common;Основы психологии и организации труда;0.02
138;007.rtf;common;Порядок заключения и оформления договоров на страховые услуги;0.03
139;007.rtf;common;Отечественный и зарубежный опыт организации страхования населения и субъектов хозяйствования;0.03
140;007.rtf;common;Основы трудового законодательства.;0.03
141;007.rtf;common;Правила и нормы охраны труда.;0.02
142;007.rtf;common;Страховой агент подчиняется непосредственно;0.09
143;007.rtf;tasks;Страховой агент:;0.74
144;007.rtf;tasks;Осуществляет операции по заключению договоров имущественного и личного страхования;0.87
145;007.rtf;tasks;Изучает региональные условия и спрос на определенные страховые услуги;0.86
146;007.rtf;tasks;Анализирует состав регионального контингента потенциальных клиентов, обслуживает физических лиц, представляющих учреждения, организации и предприятия различных форм собственности;0.83
147;007.rtf;tasks;Проводит аргументированные беседы с потенциальными и постоянными клиентами с целью заинтересовать их в заключении или продлении договоров страхования (жизни и здоровья, движимого и недвижимого имущества, предпринимательской и коммерческой деятельности и др). в процессе работы с клиентами ведет наблюдение, оценивает особенности восприятия, памяти, внимания, мотивацию поведения и обеспечивает взаимопонимание при заключении договоров на страховые услуги.;0.97
148;007.rtf;tasks;Устанавливает критерии и степень риска при заключении договоров на страховые услуги, учитывая состояние здоровья, возраст, пол, образование, стаж трудовой деятельности, уровень материального обеспечения и другие субъективные качества, характеризующие клиента;0.69
149;007.rtf;tasks;Заключает и оформляет страховые договоры, регулирует отношения между страхователем и страховщиком, обеспечивает их выполнение, осуществляет приемку страховых взносов;0.97
150;007.rtf;tasks;Обеспечивает правильность исчисления страховых взносов, оформления страховых документов и их сохранность;0.9
151;007.rtf;tasks;Способствует формированию заинтересованности и спроса на оказываемые страховые услуги, учитывая необходимость усиления материальной и моральной поддержки различных слоев населения, а также нарастание риска, связанного с конкуренцией, банкротством, безработицей и другими происходящими в современных условиях социально- экономическими процессами;0.88
152;007.rtf;tasks;Оказывает помощь клиентам в получении исчерпывающей информации об условиях страхования;0.86
153;007.rtf;tasks;Проводит работу по выявлению и учету потенциальных страхователей и объектов страхования, дает оценку стоимости объектов страхования.;0.91
154;007.rtf;tasks;В течение срока действия заключенных договоров поддерживает связь с физическими и юридическими лицами, вступившими в договорные отношения на страховые услуги.;0.74
155;007.rtf;tasks;В случае причинения ущерба застрахованному осуществляет оценку и определяет его размер с учетом критериев и степени риска.;0.89
156;007.rtf;tasks;Рассматривает поступающие от клиентов жалобы и претензии по спорным вопросам исчисления и уплаты страховых взносов, выплат страхового возмещения при наступлении страхового случая в соответствии с условиями договора.;0.77
157;007.rtf;tasks;Устанавливает причины нарушений страховых договоров и принимает меры по их предупреждению и устранению.;0.83
158;007.rtf;tasks;Исследует неосвоенные виды страховых услуг и перспективы их развития с целью применения в своей практике и при создании страховых органов и служб.;0.78
159;007.rtf;tasks;Своевременно и в соответствии с установленными требованиями оформляет необходимую документацию, ведет учет и обеспечивает хранение документов,  связанных с заключением договоров страхования.;0.96
160;007.rtf;tasks;Осуществляет взаимодействие с другими страховыми агентами.;0.87
161;007.rtf;rights;Страховой агент имеет право:;0.84
162;007.rtf;rights;Знакомиться с проектами решений руководства предприятия, касающихся его деятельности;0.04
163;007.rtf;rights;Запрашивать лично или по поручению непосредственного руководителя от руководителей подразделений предприятия и специалистов информацию и документы, необходимые для выполнения его должностных обязанностей;0.02
164;007.rtf;rights;Вносить на рассмотрение руководства предложения по совершенствованию работы, связанной с предусмотренными настоящей инструкцией обязанностями;0.05
165;007.rtf;rights;В пределах своей компетенции сообщать своему непосредственному руководителю о всех выявленных в процессе своей деятельности недостатках и вносить предложения по их устранению;0.03
166;007.rtf;rights;Требовать от руководства предприятия оказания содействия в исполнении им его должностных обязанностей и прав;0.03
167;007.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией - в пределах, определенных действующим трудовым законодательством Российской Федерации;0.02
168;007.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности - в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации;0.04
169;007.rtf;respons;За причинение материального ущерба - в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации;0.04
170;009.rtf;common;Агроном относится к категории специалистов;0.03
171;009.rtf;common;"На должность агронома назначается лицо, имеющее (высшее; среднее";0.03
172;009.rtf;common;агрономическое образование (без предъявления требований к;0.02
173;009.rtf;common;"стажу работы;стаж работы по профилю не менее лет)";0.02
174;009.rtf;common;Назначение на должность агронома и освобождение от нее производится;0.03
175;009.rtf;common;приказом директора организации по представлению;0.03
176;009.rtf;common;Агроном должен знать:;0.83
177;009.rtf;common;Постановления, распоряжения, приказы, другие руководящие и нормативные документы вышестоящих и других органов, касающиеся вопросов сельскохозяйственного производства и производственно-хозяйственной деятельности отделения (фермы, сельскохозяйственного участка);0.04
178;009.rtf;common;Технологию сельскохозяйственного производства и передовой сельскохозяйственный опыт;0.03
179;009.rtf;common;Методы проведения научных исследований в области агрономии;0.03
180;009.rtf;common;Методы возделывания полевых, садовых, огородных культур;0.03
181;009.rtf;common;Основы экономики, организации производства, труда и управления, системы оплаты труда, материального и морального стимулирования, методы нормирования труда;0.01
182;009.rtf;common;Основы земельного законодательства;0.03
183;009.rtf;common;Законодательство о труде;0.02
184;009.rtf;common;Основы экономики, организации труда, сельскохозяйственного производства и управления;0.01
185;009.rtf;common;Правила внутреннего трудового распорядка;0.02
186;009.rtf;common;Правила охраны труда, техники безопасности, производственной санитарии и противопожарной защиты.;0.02
187;009.rtf;common;Агроном подчиняется непосредственно (управляющему отделением;0.11
188;009.rtf;common;(фермой,(управляющему отделением (фермой,;0.03
189;009.rtf;tasks;Агроном:;0.74
190;009.rtf;tasks;Проводит научные исследования в области агрономии;0.8
191;009.rtf;tasks;Изучает и внедряет и внедряет передовые методы возделывания полевых, садовых, огородных культур;0.83
192;009.rtf;tasks;Разрабатывает и внедряет технологии по борьбе с вредителями, болезнями растений и сорняками;0.74
193;009.rtf;tasks;Разрабатывает агротехнические мероприятия, направленные на повышение плодородия почв и увеличения урожайности сельскохозяйственных культур;0.81
194;009.rtf;tasks;Разрабатывает производственные планы, виды и количества посадочных культур;0.74
195;009.rtf;tasks;Ведет переговоры и готовит проекты договоров на приобретение семян растений, саженцев и удобрений;0.76
196;009.rtf;tasks;Организует работу по выращиванию высококачественных сортовых семян и посадочного материала, созданию семенных фондов;0.9
197;009.rtf;tasks;Организует работу по подготовке почвы к посеву и посадке;0.88
198;009.rtf;tasks;Разрабатывает мероприятия по приготовлению и внесению удобрений в почву;0.77
199;009.rtf;tasks;Осуществляет контроль за подготовкой семян и посадочного материала.;0.89
200;009.rtf;tasks;Организует работы по посеву полевых культур.;0.88
201;009.rtf;tasks;Разрабатывает планы (календарные графики по уходу за посевами.;0.74
202;009.rtf;tasks;Контролирует выполнение работ по сбору, транспортировке к местам хранения и хранению собранного урожая.;0.87
203;009.rtf;tasks;Подготавливает научную документацию и отчеты.;0.74
