filename;section;text
001.rtf;rights;Требовать от руководства предприятия оказания содействия в исполнении им его должностных обязанностей и прав
001.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией - в пределах, определенных действующим трудовым законодательством Российской Федерации
001.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности - в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации
001.rtf;respons;За причинение материального ущерба - в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации
002.rtf;common;Агент по закупкам относится к категории технических исполнителей
002.rtf;common;На должность агента по закупкам назначается лицо, имеющее среднее (полное) общее образование и специальная подготовка по установленной программе без предъявления требований к стажу работы
002.rtf;common;Назначение на должность агента по закупкам и освобождение от нее
002.rtf;common;производится приказом директора предприятия по представлению
002.rtf;common;"(заведующего объектом торговли; заведующего объектом торговли; )"
002.rtf;common;Агент по закупкам должен знать:
002.rtf;common;Нормативные правовые акты, положения, инструкции, другие руководящие материалы и документы, касающиеся порядка заключения договоров с поставщиками
002.rtf;common;Основы рыночной экономики
002.rtf;common;Основы трудового, финансового и хозяйственного законодательства
002.rtf;common;Методы делового общения
002.rtf;common;Методы и средства определения качества закупаемой продукции
002.rtf;common;Организацию погрузочно-разгрузочных работ
002.rtf;common;Правила и порядок приемки, отправки и сдачи продукции, заказа контейнеров и транспортных средств
002.rtf;common;Условия хранения и перевозки закупаемой продукции
002.rtf;common;Формы и порядок оформления приемосдаточных документов
002.rtf;common;Основы организации труда.
002.rtf;common;Правила внутреннего трудового распорядка.
002.rtf;common;Правила и нормы охраны труда.
002.rtf;common;Агент по закупкам подчиняется непосредственно (заведующему
002.rtf;common;"объектом торговли;заведующему складом объекта торговли; иному должностному"
002.rtf;common;лицу)
002.rtf;tasks;Агент по закупкам:
002.rtf;tasks;Осуществляет работу по закупке у населения сельскохозяйственной продукции собственного производства в соответствии с заключаемыми договорами, определяющими характер и объем поставок, а также их оплату
002.rtf;tasks;Выезжает в сельскохозяйственные районы, выявляет потенциальных поставщиков (продавцов) производимой ими продукции, заключает договоры купли-продажи
002.rtf;tasks;Проводит разъяснительную работу среди населения о порядке заключения договоров купли-продажи на обоюдно-выгодных условиях, принимает меры по установлению долгосрочных связей с производителями сельскохозяйственной продукции
002.rtf;tasks;Осуществляет контроль качества приобретаемой продукции
002.rtf;tasks;Оформляет в соответствии с установленным порядком документацию на издаваемую продукцию, заказывает контейнеры и транспортные средства для ее перевозки
002.rtf;tasks;Контролирует наличие необходимых приспособлений и санитарное состояние транспортных средств, предназначенных для перевозки, правильность проведения погрузочно-разгрузочных работ и рациональное размещение продукции
002.rtf;tasks;Отправляет закупленную продукцию в адрес поручителя, сопровождает грузы в пути следования, соблюдая санитарные требования и правила хранения продукции при транспортировке, содействует их своевременной доставке
002.rtf;tasks;Следит за соблюдением требований охраны труда при проведении погрузочно-разгрузочных работ
002.rtf;tasks;Сдает доставленную продукцию, оформляет установленную приемосдаточную документацию
002.rtf;rights;Агент по закупкам имеет право:
002.rtf;rights;Знакомиться с проектами решений руководства предприятия, касающихся его деятельности
002.rtf;rights;Запрашивать лично или по поручению непосредственного руководителя от руководителей подразделений предприятия и специалистов информацию и документы, необходимые для выполнения его должностных обязанностей
002.rtf;rights;Вносить на рассмотрение руководства предложения по совершенствованию работы, связанной с предусмотренными настоящей инструкцией обязанностями
002.rtf;rights;В пределах своей компетенции сообщать своему непосредственному руководителю о всех выявленных в процессе своей деятельности недостатках и вносить предложения по их устранению
002.rtf;rights;Требовать от руководства предприятия оказания содействия в исполнении им его должностных обязанностей и прав
002.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией - в пределах, определенных действующим трудовым законодательством Российской Федерации
002.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности - в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации
002.rtf;respons;За причинение материального ущерба - в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации
003.rtf;common;Агент по продаже недвижимости относится к категории технических исполнителей
003.rtf;common;На должность агента по продаже недвижимости назначается лицо, имеющее среднее профессиональное образование и специальная подготовка по установленной программе без предъявления требований к стажу работы
003.rtf;common;Назначение на должность агента по продаже недвижимости и освобождение от нее производится приказом директора предприятия
003.rtf;common;Агент по продаже недвижимости должен знать:
003.rtf;common;Нормативные правовые акты, положения инструкции, другие руководящие материалы и документы, регулирующие операции с недвижимостью
003.rtf;common;Агентства, работающие на рынке недвижимости, и виды оказываемых ими услуг
003.rtf;common;Основы рыночной экономики
003.rtf;common;Правила установления деловых контактов
003.rtf;common;Условия налогообложения юридических и физических лиц
003.rtf;common;Организацию осуществления операций с недвижимостью
003.rtf;common;Правила и порядок заключения договоров и оформления необходимых документов, связанных с куплей-продажей и арендой недвижимости
003.rtf;common;Методы анализа и порядок сбора, обработки и передачи информации о рынке недвижимости
003.rtf;common;Конъюнктуру рынка недвижимости
003.rtf;common;Основные требования стандартов, технических, качественных и других характеристик, предъявляемых к объектам недвижимости.
003.rtf;common;Порядок проведения осмотров и методы оценки объектов купли-продажи и аренды.
003.rtf;common;Действующие ценники и прейскуранты.
003.rtf;common;Организацию рекламной работы.
003.rtf;common;Приемы и методы делового общения, ведения переговоров.
003.rtf;common;Основы земельного и жилищного законодательства.
003.rtf;common;Основы экономики, психологии и трудового законодательства.
003.rtf;common;Правила и нормы охраны труда.
003.rtf;common;Агент по продаже недвижимости подчиняется непосредственно
003.rtf;tasks;Агент по продаже недвижимости:
003.rtf;tasks;Осуществляет работу по покупке, продаже или аренде недвижимости от имени и по поручению клиентов
003.rtf;tasks;Получает информацию о продаваемом или сдаваемом в аренду имуществе и о требованиях потенциальных покупателей или арендаторов
003.rtf;tasks;Изучает спрос и предложения на рынке недвижимости
003.rtf;tasks;Регистрирует поступающие предложения по продаже или передаче в аренду объектов недвижимости, проводит их ознакомительный осмотр
003.rtf;tasks;В отдельных случаях заключает эксклюзивные договоры между собственниками и агентством
003.rtf;tasks;Осуществляет поиск потенциальных покупателей и арендаторов, устанавливает с ними деловые контакты
003.rtf;tasks;Организует ознакомление покупателей или арендаторов с продаваемым или сдаваемым объектом недвижимости
003.rtf;tasks;Оформляет заявки покупателей, подбирает или предлагает варианты продаж или сдачи внаем
003.rtf;tasks;Согласовывает договорные условия, оформляет операции с недвижимостью
003.rtf;tasks;Оказывает помощь клиентам в сборе необходимых документов и оформлении сделок.
003.rtf;tasks;Информирует клиентов о поступивших подходящих предложениях, консультирует по вопросам, касающимся характеристики рассматриваемых объектов недвижимости и степени соответствия их определенным требованиям.
003.rtf;tasks;Организует подписание договоров купли-продажи или передаче в аренду объектов недвижимости.
003.rtf;tasks;Содействует своевременному оформлению необходимых клиентам для заключения сделки документов, обеспечивает их сохранность.
003.rtf;tasks;Представляет интересы клиентов для заключения сделки документов, обеспечивает их сохранность.
003.rtf;tasks;Представляет интересы клиентов при осуществлении взаимодействия с другими специалистами агентства и иных учреждений, участвующими в оформлении сделок.
003.rtf;tasks;Составляет установленную отчетность о выполненной работе.
003.rtf;rights;Знакомиться с проектами решений руководства предприятия, касающихся его деятельности
003.rtf;rights;Запрашивать лично или по поручению непосредственного руководителя от руководителей подразделений предприятия и специалистов информацию и документы, необходимые для выполнения его должностных обязанностей
003.rtf;rights;Вносить на рассмотрение руководства предложения по совершенствованию работы, связанной с предусмотренными настоящей инструкцией обязанностями
003.rtf;rights;В пределах своей компетенции сообщать своему непосредственному руководителю о всех выявленных в процессе своей деятельности недостатках и вносить предложения по их устранению
003.rtf;rights;Требовать от руководства предприятия оказания содействия в исполнении им его должностных обязанностей и прав
003.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией - в пределах, определенных действующим трудовым законодательством Российской Федерации
003.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности - в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации
003.rtf;respons;За причинение материального ущерба - в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации
004.rtf;common;На должность агента по розыску грузов назначается лицо, имеющее среднее
004.rtf;common;(полное) общее образование (специальную подготовку по установленной
004.rtf;common;"программе;стаж работы в должности по приему и сдаче грузов: не менее года; не"
004.rtf;common;менее лет) или среднее профессиональное (техническое) образование и специальную подготовку по установленной программе  Назначение на должность и освобождение от нее производится приказом
005.rtf;common;Назначение на должность агента по снабжению и освобождение от нее
005.rtf;common;производится приказом директора предприятия по представлению  (начальника  материально-технического снабжения,  заместителя начальника отдела
006.rtf;common;Назначение на должность рекламного агента и освобождение от нее
006.rtf;common;производится приказом директора предприятия по представлению(менеджера по
006.rtf;common;"рекламе; руководителя соответствующего структурного подразделения; иного"
006.rtf;common;"должностного лица)  Рекламный агент должен знать:  Нормативные правовые акты, положения инструкции, другие руководящие материалы, касающиеся рекламной деятельности  Законодательство о рекламе.  Виды рекламы и основы организационной рекламной деятельности.  Перспективы развития предприятия, производящего рекламируемую продукцию и оказывающего рекламируемые услуги.  Номенклатуру и ассортимент выпускаемой продукции и оказываемых услуг, основные их характеристики.  Требования потенциальных покупателей к производимой продукции и заказчиков к оказываемым услугам.  Действующие ценники и прейскуранты.  Основы организации связи со средствами массовой информации, приемы и методы делового общения и ведения переговоров.  Методы сбора и подготовки рекламных материалов. . Порядок подготовки рекламных кампаний. . Основы эстетики, этики, психологии. . Основы экономики, организации труда и управления. . Правила внутреннего трудового распорядка. . Правила и нормы охраны труда.   Рекламный агент подчиняется непосредственно (менеджеру по рекламе; руководителю соответствующего структурного подразделения; иному должностному"
007.rtf;common;Страховой агент относится к категории технических исполнителей
007.rtf;common;На должность страхового агента назначается лицо, имеющее среднее профессиональное образование и специальная подготовка по установленной программе без предъявления требований к стажу работы
007.rtf;common;Назначение на должность страхового агента и освобождение от нее производится приказом директора предприятия
007.rtf;common;Страховой агент должен знать:
007.rtf;common;Нормативные правовые акты, положения, инструкции, другие руководящие материалы и документы, регламентирующие деятельность страховых органов
007.rtf;common;Виды страховых услуг и условия различных видов страхования
007.rtf;common;Правовые основы развития страховой деятельности с учетом региональных специфических условий
007.rtf;common;Действующую систему социальных гарантий
007.rtf;common;Методы определения степени риска при заключении договоров на страхование услуги и оценки причиненного ущерба
007.rtf;common;Основы рыночной экономики
007.rtf;common;Основы психологии и организации труда
007.rtf;common;Порядок заключения и оформления договоров на страховые услуги
007.rtf;common;Отечественный и зарубежный опыт организации страхования населения и субъектов хозяйствования
007.rtf;common;Основы трудового законодательства.
007.rtf;common;Правила и нормы охраны труда.
007.rtf;common;Страховой агент подчиняется непосредственно
007.rtf;tasks;Страховой агент:
007.rtf;tasks;Осуществляет операции по заключению договоров имущественного и личного страхования
007.rtf;tasks;Изучает региональные условия и спрос на определенные страховые услуги
007.rtf;tasks;Анализирует состав регионального контингента потенциальных клиентов, обслуживает физических лиц, представляющих учреждения, организации и предприятия различных форм собственности
007.rtf;tasks;Проводит аргументированные беседы с потенциальными и постоянными клиентами с целью заинтересовать их в заключении или продлении договоров страхования (жизни и здоровья, движимого и недвижимого имущества, предпринимательской и коммерческой деятельности и др). в процессе работы с клиентами ведет наблюдение, оценивает особенности восприятия, памяти, внимания, мотивацию поведения и обеспечивает взаимопонимание при заключении договоров на страховые услуги.
007.rtf;tasks;Устанавливает критерии и степень риска при заключении договоров на страховые услуги, учитывая состояние здоровья, возраст, пол, образование, стаж трудовой деятельности, уровень материального обеспечения и другие субъективные качества, характеризующие клиента
007.rtf;tasks;Заключает и оформляет страховые договоры, регулирует отношения между страхователем и страховщиком, обеспечивает их выполнение, осуществляет приемку страховых взносов
007.rtf;tasks;Обеспечивает правильность исчисления страховых взносов, оформления страховых документов и их сохранность
007.rtf;tasks;Способствует формированию заинтересованности и спроса на оказываемые страховые услуги, учитывая необходимость усиления материальной и моральной поддержки различных слоев населения, а также нарастание риска, связанного с конкуренцией, банкротством, безработицей и другими происходящими в современных условиях социально- экономическими процессами
007.rtf;tasks;Оказывает помощь клиентам в получении исчерпывающей информации об условиях страхования
007.rtf;tasks;Проводит работу по выявлению и учету потенциальных страхователей и объектов страхования, дает оценку стоимости объектов страхования.
007.rtf;tasks;В течение срока действия заключенных договоров поддерживает связь с физическими и юридическими лицами, вступившими в договорные отношения на страховые услуги.
007.rtf;tasks;В случае причинения ущерба застрахованному осуществляет оценку и определяет его размер с учетом критериев и степени риска.
007.rtf;tasks;Рассматривает поступающие от клиентов жалобы и претензии по спорным вопросам исчисления и уплаты страховых взносов, выплат страхового возмещения при наступлении страхового случая в соответствии с условиями договора.
007.rtf;tasks;Устанавливает причины нарушений страховых договоров и принимает меры по их предупреждению и устранению.
007.rtf;tasks;Исследует неосвоенные виды страховых услуг и перспективы их развития с целью применения в своей практике и при создании страховых органов и служб.
007.rtf;tasks;Своевременно и в соответствии с установленными требованиями оформляет необходимую документацию, ведет учет и обеспечивает хранение документов,  связанных с заключением договоров страхования.
007.rtf;tasks;Осуществляет взаимодействие с другими страховыми агентами.
007.rtf;rights;Страховой агент имеет право:
007.rtf;rights;Знакомиться с проектами решений руководства предприятия, касающихся его деятельности
007.rtf;rights;Запрашивать лично или по поручению непосредственного руководителя от руководителей подразделений предприятия и специалистов информацию и документы, необходимые для выполнения его должностных обязанностей
007.rtf;rights;Вносить на рассмотрение руководства предложения по совершенствованию работы, связанной с предусмотренными настоящей инструкцией обязанностями
007.rtf;rights;В пределах своей компетенции сообщать своему непосредственному руководителю о всех выявленных в процессе своей деятельности недостатках и вносить предложения по их устранению
007.rtf;rights;Требовать от руководства предприятия оказания содействия в исполнении им его должностных обязанностей и прав
007.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией - в пределах, определенных действующим трудовым законодательством Российской Федерации
007.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности - в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации
007.rtf;respons;За причинение материального ущерба - в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации
009.rtf;common;Агроном относится к категории специалистов
009.rtf;common;"На должность агронома назначается лицо, имеющее (высшее; среднее"
009.rtf;common;агрономическое образование (без предъявления требований к
009.rtf;common;"стажу работы;стаж работы по профилю не менее лет)"
009.rtf;common;Назначение на должность агронома и освобождение от нее производится
009.rtf;common;приказом директора организации по представлению
009.rtf;common;Агроном должен знать:
009.rtf;common;Постановления, распоряжения, приказы, другие руководящие и нормативные документы вышестоящих и других органов, касающиеся вопросов сельскохозяйственного производства и производственно-хозяйственной деятельности отделения (фермы, сельскохозяйственного участка)
009.rtf;common;Технологию сельскохозяйственного производства и передовой сельскохозяйственный опыт
009.rtf;common;Методы проведения научных исследований в области агрономии
009.rtf;common;Методы возделывания полевых, садовых, огородных культур
009.rtf;common;Основы экономики, организации производства, труда и управления, системы оплаты труда, материального и морального стимулирования, методы нормирования труда
009.rtf;common;Основы земельного законодательства
009.rtf;common;Законодательство о труде
009.rtf;common;Основы экономики, организации труда, сельскохозяйственного производства и управления
009.rtf;common;Правила внутреннего трудового распорядка
009.rtf;common;Правила охраны труда, техники безопасности, производственной санитарии и противопожарной защиты.
009.rtf;common;Агроном подчиняется непосредственно (управляющему отделением
009.rtf;common;(фермой,(управляющему отделением (фермой,
009.rtf;tasks;Агроном:
009.rtf;tasks;Проводит научные исследования в области агрономии
009.rtf;tasks;Изучает и внедряет и внедряет передовые методы возделывания полевых, садовых, огородных культур
009.rtf;tasks;Разрабатывает и внедряет технологии по борьбе с вредителями, болезнями растений и сорняками
009.rtf;tasks;Разрабатывает агротехнические мероприятия, направленные на повышение плодородия почв и увеличения урожайности сельскохозяйственных культур
009.rtf;tasks;Разрабатывает производственные планы, виды и количества посадочных культур
009.rtf;tasks;Ведет переговоры и готовит проекты договоров на приобретение семян растений, саженцев и удобрений
009.rtf;tasks;Организует работу по выращиванию высококачественных сортовых семян и посадочного материала, созданию семенных фондов
009.rtf;tasks;Организует работу по подготовке почвы к посеву и посадке
009.rtf;tasks;Разрабатывает мероприятия по приготовлению и внесению удобрений в почву
009.rtf;tasks;Осуществляет контроль за подготовкой семян и посадочного материала.
009.rtf;tasks;Организует работы по посеву полевых культур.
009.rtf;tasks;Разрабатывает планы (календарные графики по уходу за посевами.
009.rtf;tasks;Контролирует выполнение работ по сбору, транспортировке к местам хранения и хранению собранного урожая.
009.rtf;tasks;Подготавливает научную документацию и отчеты.
009.rtf;tasks;Выполняет родственные по содержанию обязанности.
009.rtf;tasks;Осуществляет руководство работниками.
009.rtf;rights;Агроном вправе:
009.rtf;rights;Знакомиться с проектами решений руководства организации, касающихся его деятельности
009.rtf;rights;Вносить на рассмотрение руководства предложения по совершенствованию работы, связанной с предусмотренными настоящей инструкцией обязанностями
009.rtf;rights;В пределах своей компетенции сообщать своему непосредственному руководителю о всех выявленных в процессе осуществления должностных обязанностей недостатках в деятельности предприятия (его структурных подразделениях) и вносить предложения по их устранению
009.rtf;rights;Запрашивать лично или по поручению руководства организации от подразделений организации и иных специалистов информацию и документы, необходимые для выполнения его должностных обязанностей
009.rtf;rights;Привлекать специалистов всех (отдельных) структурных подразделений к решению задач, возложенных на него (если это предусмотрено положениями о структурных подразделениях, если нет - то с разрешения руководителя организации)
